# x	y	u	v	mask
  1.0962	185.4929	 -0.0422	  0.0054	  0.0000
  1.9617	185.4929	 -0.0267	 -0.0078	  0.0000
  2.8271	185.4929	 -0.0177	 -0.0093	  0.0000
  3.6925	185.4929	 -0.0133	 -0.0058	  0.0000
  4.5580	185.4929	 -0.0098	 -0.0002	  0.0000
  5.4234	185.4929	 -0.0213	  0.0045	  0.0000
  6.2889	185.4929	 -0.0054	  0.0027	  0.0000
  7.1543	185.4929	  0.0023	 -0.0126	  0.0000
  8.0198	185.4929	  0.0118	 -0.0035	  0.0000
  8.8852	185.4929	 -0.0024	  0.0098	  0.0000
  9.7506	185.4929	 -0.0652	  0.0020	  0.0000
 10.6161	185.4929	  0.0125	 -0.0127	  0.0000
 11.4815	185.4929	  0.0226	 -0.0041	  0.0000
 12.3470	185.4929	 -0.1590	  0.0428	  0.0000
 13.2124	185.4929	  0.2120	 -0.2392	  0.0000
 14.0778	185.4929	  0.3321	 -0.3472	  0.0000
 14.9433	185.4929	  0.2652	 -0.3485	  0.0000
 15.8087	185.4929	 -0.0047	  0.1035	  0.0000
 16.6742	185.4929	 -0.6386	  0.2239	  0.0000
 17.5396	185.4929	 -0.1924	  0.2127	  0.0000
 18.4050	185.4929	 -0.3400	  0.6823	  0.0000
 19.2705	185.4929	  0.0585	  0.0387	  1.0000
 20.1359	185.4929	  0.7567	 -0.5157	  0.0000
 21.0014	185.4929	  0.2297	 -0.3099	  0.0000
 21.8668	185.4929	  0.1450	 -0.2529	  0.0000
 22.7323	185.4929	  0.0813	  0.0140	  1.0000
 23.5977	185.4929	  0.0648	  0.0927	  1.0000
 24.4631	185.4929	  0.0709	  0.1645	  1.0000
 25.3286	185.4929	 -0.0177	  0.5233	  0.0000
 26.1940	185.4929	  0.0094	  0.4548	  0.0000
 27.0595	185.4929	 -0.0003	  0.3779	  0.0000
 27.9249	185.4929	  0.2998	  0.0113	  0.0000
 28.7903	185.4929	 -0.1204	  0.5607	  0.0000
 29.6558	185.4929	 -0.0839	  0.5261	  0.0000
 30.5212	185.4929	 -0.0203	  0.5127	  0.0000
 31.3867	185.4929	  0.0335	  0.4455	  0.0000
 32.2521	185.4929	  0.0184	  0.4732	  0.0000
 33.1175	185.4929	  0.0062	  0.4932	  0.0000
