# x	y	u	v	mask
  3.7339	359.3254	  0.0308	 -0.2880	  0.0000
  6.5343	359.3254	 -0.0218	 -0.3139	  0.0000
  9.3347	359.3254	 -0.2292	 -0.4239	  0.0000
 12.1352	359.3254	 -0.3574	 -0.4419	  0.0000
 14.9356	359.3254	 -0.0762	 -0.2839	  0.0000
 17.7360	359.3254	  0.0626	 -0.1486	  0.0000
 20.5364	359.3254	  0.1458	 -0.1487	  0.0000
 23.3369	359.3254	 -0.0215	 -0.3662	  0.0000
 26.1373	359.3254	 -0.3753	 -0.5588	  0.0000
 28.9377	359.3254	 -0.4853	 -0.5804	  0.0000
 31.7381	359.3254	 -0.2486	 -0.4477	  0.0000
 34.5386	359.3254	  0.0829	 -0.1285	  0.0000
 37.3390	359.3254	  0.2226	 -0.0816	  0.0000
 40.1394	359.3254	  0.2022	 -0.0714	  0.0000
 42.9398	359.3254	  0.0266	 -0.2112	  0.0000
 45.7402	359.3254	 -0.4693	 -0.5410	  0.0000
 48.5407	359.3254	 -0.6284	 -0.7413	  0.0000
 51.3411	359.3254	 -0.6475	 -0.7708	  0.0000
 54.1415	359.3254	 -0.4659	 -0.6835	  0.0000
 56.9419	359.3254	  0.0002	 -0.1199	  0.0000
 59.7424	359.3254	  0.2632	  0.2051	  0.0000
 62.5428	359.3254	  0.3294	  0.3099	  0.0000
 65.3432	359.3254	  0.3277	  0.2574	  0.0000
 68.1436	359.3254	  0.2022	 -0.0570	  0.0000
 70.9441	359.3254	 -0.0121	 -0.3145	  0.0000
 73.7445	359.3254	 -0.3681	 -0.8129	  0.0000
 76.5449	359.3254	 -0.6140	 -1.0732	  0.0000
 79.3453	359.3254	 -0.7627	 -1.0905	  0.0000
 82.1457	359.3254	 -0.6631	 -1.0903	  0.0000
 84.9462	359.3254	 -0.5065	 -0.9015	  0.0000
 87.7466	359.3254	 -0.3116	 -0.4931	  0.0000
 90.5470	359.3254	  0.0066	 -0.0648	  0.0000
 93.3474	359.3254	  0.1315	  0.0143	  0.0000
 96.1479	359.3254	  0.2317	  0.1855	  0.0000
 98.9483	359.3254	  0.3585	  0.3719	  0.0000
101.7487	359.3254	  0.4851	  0.4619	  0.0000
104.5491	359.3254	  0.4753	  0.5218	  0.0000
107.3496	359.3254	  0.3436	  0.4526	  0.0000
110.1500	359.3254	  0.2858	  0.3516	  0.0000
112.9504	359.3254	  0.1529	  0.1994	  0.0000
115.7508	359.3254	  0.0684	 -0.0733	  0.0000
118.5512	359.3254	 -0.0169	 -0.3448	  0.0000
121.3517	359.3254	 -0.2580	 -0.6668	  0.0000
124.1521	359.3254	 -0.3389	 -0.8618	  0.0000
126.9525	359.3254	 -0.6970	 -1.0559	  0.0000
129.7529	359.3254	 -0.7534	 -1.2044	  0.0000
132.5534	359.3254	 -0.9098	 -1.2890	  0.0000
135.3538	359.3254	 -0.9155	 -1.2430	  0.0000
138.1542	359.3254	 -1.1673	 -1.3601	  0.0000
140.9546	359.3254	 -1.1968	 -1.1824	  0.0000
143.7551	359.3254	 -1.1833	 -1.2389	  0.0000
146.5555	359.3254	 -1.0535	 -1.0945	  0.0000
149.3559	359.3254	 -0.8980	 -1.0212	  0.0000
152.1563	359.3254	 -0.7603	 -0.9545	  0.0000
154.9567	359.3254	 -0.5672	 -0.6883	  0.0000
157.7572	359.3254	 -0.3339	 -0.4071	  0.0000
160.5576	359.3254	 -0.1884	 -0.2368	  0.0000
163.3580	359.3254	 -0.0171	 -0.1488	  0.0000
166.1584	359.3254	 -0.0054	 -0.1136	  0.0000
168.9589	359.3254	  0.0199	 -0.0727	  0.0000
171.7593	359.3254	  0.0932	 -0.0459	  0.0000
174.5597	359.3254	  0.1405	  0.0078	  0.0000
177.3601	359.3254	  0.1697	  0.0284	  0.0000
180.1606	359.3254	  0.2231	  0.0699	  0.0000
182.9610	359.3254	  0.2728	  0.0225	  0.0000
185.7614	359.3254	  0.2349	 -0.0627	  0.0000
188.5618	359.3254	  0.1104	 -0.2025	  0.0000
191.3623	359.3254	 -0.0633	 -0.3177	  0.0000
194.1627	359.3254	 -0.2917	 -0.4834	  0.0000
196.9631	359.3254	 -0.4124	 -0.6213	  0.0000
199.7635	359.3254	 -0.4523	 -0.5718	  0.0000
