# x	y	u	v	mask
  1.2780	242.3468	 -0.1872	  0.0142	  0.0000
  2.2655	242.3468	 -0.0194	  0.0196	  0.0000
  3.2530	242.3468	  0.0444	  0.0549	  0.0000
  4.2405	242.3468	 -0.0217	  0.0819	  0.0000
  5.2280	242.3468	 -0.0697	  0.0187	  0.0000
  6.2155	242.3468	 -0.1633	 -0.0108	  0.0000
  7.2030	242.3468	 -0.0142	 -0.0825	  0.0000
  8.1905	242.3468	  0.0127	 -0.2598	  0.0000
  9.1780	242.3468	 -0.0173	 -0.3786	  0.0000
 10.1656	242.3468	 -0.2407	 -0.7329	  0.0000
 11.1531	242.3468	 -0.1759	 -0.8742	  0.0000
 12.1406	242.3468	 -0.0805	 -0.2094	  1.0000
 13.1281	242.3468	 -0.4374	  0.8554	  0.0000
 14.1156	242.3468	 -0.6323	  0.7994	  0.0000
 15.1031	242.3468	 -0.1689	 -0.0170	  1.0000
 16.0906	242.3468	 -0.0813	  0.6891	  0.0000
 17.0781	242.3468	 -0.5288	 -0.5387	  0.0000
 18.0656	242.3468	  0.4777	  0.6385	  0.0000
 19.0532	242.3468	  0.5292	  0.0132	  0.0000
 20.0407	242.3468	  0.8274	 -0.5755	  0.0000
 21.0282	242.3468	  0.3364	  0.9176	  0.0000
 22.0157	242.3468	  0.0667	  0.8117	  0.0000
 23.0032	242.3468	  0.1828	  0.8316	  0.0000
 23.9907	242.3468	 -0.1189	  0.3040	  1.0000
 24.9782	242.3468	 -0.2731	  0.4286	  0.0000
 25.9657	242.3468	 -0.1270	  0.4336	  0.0000
 26.9532	242.3468	  0.0851	  0.6101	  0.0000
 27.9407	242.3468	  0.2785	  0.8106	  0.0000
 28.9283	242.3468	  0.1652	 -0.4392	  0.0000
 29.9158	242.3468	  0.0021	 -0.2962	  0.0000
 30.9033	242.3468	  0.0932	 -0.3247	  0.0000
 31.8908	242.3468	 -0.1990	 -0.4617	  0.0000
 32.8783	242.3468	 -0.0401	  0.0469	  1.0000
 33.8658	242.3468	  0.6302	 -0.0353	  0.0000
 34.8533	242.3468	  0.7420	  0.1743	  0.0000
 35.8408	242.3468	 -0.6062	  0.5509	  0.0000
 36.8283	242.3468	 -0.0276	 -0.0304	  1.0000
 37.8159	242.3468	  0.0013	 -0.7277	  0.0000
 38.8034	242.3468	 -0.6491	  0.6476	  0.0000
 39.7909	242.3468	 -0.2073	  0.2446	  0.0000
 40.7784	242.3468	  0.6365	  0.6385	  0.0000
